ACTH's:ACT,H's
haft's:ha,ft's
hafted:haft,ed
hafter:h,after
hagbut:hag,but
hagden:hag,den
hagdon:hag,don
hagged:hag,ged
haggis:hag,gis
haglet:h,aglet
haicks:haick,s
haikai:haik,ai
haikus:haik,us
hail's:h,ail's
hailed:h,ailed
hailer:hail,er
haints:hain,ts
hair's:h,air's
hairdo:hair,do
haired:h,aired
haiths:haith,s
hajjes:hajj,es
hajjis:hajj,is
hakams:haka,ms
hakeem:hake,em
hakims:hakim,s
halala:halal,a
halals:halal,s
halers:hale,rs
haleru:haler,u
halest:ha,lest
halfas:h,alfas
halfen:half,en
halide:halid,e
halids:ha,lids
halier:ha,lier
haling:ha,ling
halite:ha,lite
hall's:h,all's
hallah:hall,ah
hallan:hall,an
hallel:h,allel
halloo:hall,oo
hallot:h,allot
hallow:h,allow
halm's:ha,lm's
halmas:h,almas
haloed:h,aloed
haloid:ha,loid
halons:halo,ns
halted:halt,ed
halter:h,alter
halutz:ha,lutz
halvah:halva,h
halvas:halva,s
halved:halve,d
halver:halve,r
halves:halve,s
hamals:ham,als
hamate:h,amate
hamaul:ha,maul
hamble:h,amble
hame's:ha,me's
hamite:ha,mite
hamlet:ham,let
hammal:ham,mal
hammam:ham,mam
hammed:ham,med
hamose:ha,mose
hamous:ha,mous
hamper:ham,per
hamzah:hamza,h
hamzas:ham,zas
hanaps:ha,naps
hances:hance,s
handax:hand,ax
handed:hand,ed
hander:han,der
hangar:han,gar
hanged:han,ged
hanger:h,anger
hangul:han,gul
hangup:han,gup
hanjar:han,jar
hanked:han,ked
hanker:h,anker
hansas:hansa,s
hanses:hanse,s
hansom:han,som
hanted:h,anted
haoles:ha,oles
haomas:hao,mas
happed:hap,ped
happen:hap,pen
hapten:hap,ten
haptic:hap,tic
harams:ha,rams
harbor:h,arbor
harden:hard,en
harder:hard,er
hare's:h,are's
hareem:hare,em
harems:ha,rems
harims:ha,rims
haring:ha,ring
harish:h,arish
harked:hark,ed
harm's:h,arm's
harman:harm,an
harmed:h,armed
harmel:harm,el
harmer:h,armer
harmin:harm,in
harped:harp,ed
harper:harp,er
harpin:harp,in
harrow:h,arrow
hart's:h,art's
hartal:h,artal
hash's:h,ash's
hashed:h,ashed
hashes:h,ashes
haslet:has,let
hasp's:h,asp's
hasped:ha,sped
hassar:has,sar
hassel:has,sel
hassle:has,sle
hasted:ha,sted
hasten:ha,sten
hastes:has,tes
hatbox:hat,box
hate's:ha,te's
haters:hat,ers
hating:ha,ting
hatpeg:hat,peg
hatpin:hat,pin
hatred:hat,red
hatted:hat,ted
hatter:hat,ter
haughs:ha,ughs
haught:h,aught
haulds:haul,ds
hauled:haul,ed
hauler:haul,er
haulms:haul,ms
haulmy:haul,my
haunts:h,aunts
haused:ha,used
hausen:hause,n
hauses:ha,uses
havens:h,avens
havers:h,avers
havocs:havoc,s
hawing:h,awing
hawked:haw,ked
hawker:hawk,er
hawkey:haw,key
hawsed:haw,sed
hawser:haw,ser
hawses:haws,es
haybox:hay,box
hayers:hay,ers
haymow:hay,mow
haysel:hay,sel
hazans:h,azans
hazels:ha,zels
hazers:haze,rs
hazing:ha,zing
head's:he,ad's
headed:head,ed
header:head,er
healds:heal,ds
healed:heal,ed
healer:heal,er
heaped:he,aped
heaper:he,aper
hearer:hear,er
hearse:hear,se
hearsy:hears,y
hearth:h,earth
hearts:he,arts
hearty:he,arty
heat's:he,at's
heated:heat,ed
heater:h,eater
heaths:heat,hs
heathy:heath,y
heaved:h,eaved
heaven:heave,n
heaver:he,aver
heaves:h,eaves
heders:hed,ers
hedged:h,edged
hedger:h,edger
hedges:h,edges
heed's:he,ed's
heeded:heed,ed
heeder:heed,er
heel's:h,eel's
heeled:heel,ed
heeler:heel,er
heezed:heeze,d
heezes:heeze,s
heft's:h,eft's
hefted:heft,ed
hefter:heft,er
heighs:heigh,s
height:h,eight
heiled:heil,ed
heired:he,ired
heists:heist,s
hejabs:he,jabs
heliac:heli,ac
helios:heli,os
helium:heli,um
hell's:h,ell's
helled:hell,ed
heller:hell,er
hellos:hell,os
helm's:h,elm's
helmed:helm,ed
helmet:helm,et
helots:he,lots
helped:help,ed
helper:help,er
helved:helve,d
helves:h,elves
heme's:he,me's
hemina:hemin,a
hemins:hem,ins
hemmed:hem,med
hemmer:h,emmer
hempen:hem,pen
hempie:hem,pie
henbit:hen,bit
hences:hence,s
henges:henge,s
henley:hen,ley
hennas:hen,nas
henpen:hen,pen
henrys:henry,s
hented:hen,ted
hepars:he,pars
hepcat:hep,cat
hepped:hep,ped
hepper:hep,per
heptad:hep,tad
herbal:her,bal
herbed:her,bed
herded:herd,ed
herden:her,den
herder:her,der
here's:he,re's
hereat:her,eat
hereby:here,by
herein:he,rein
herems:he,rems
hereof:here,of
hereon:her,eon
heresy:heres,y
hereto:here,to
heriot:he,riot
hermae:her,mae
hermai:herm,ai
hermit:herm,it
heroes:he,roes
heroin:he,roin
herons:her,ons
heroon:he,roon
herpes:her,pes
hersed:her,sed
hetman:het,man
heuchs:heuch,s
heughs:he,ughs
heveas:hevea,s
hewers:h,ewers
hewing:he,wing
hexact:h,exact
hexade:hexad,e
hexads:hex,ads
hexane:hex,ane
hexene:hex,ene
hexers:hex,ers
hexing:h,exing
hexone:hex,one
hexose:hex,ose
hexyls:hexyl,s
heyday:hey,day
heydey:hey,dey
hiccup:hic,cup
hickey:hic,key
hidage:hid,age
hidden:hid,den
hidder:hid,der
hiders:hid,ers
hiding:hi,ding
hiemal:hie,mal
higher:high,er
highth:hight,h
hights:high,ts
hijabs:hi,jabs
hijack:hi,jack
hijrah:hijra,h
hijras:hijra,s
hikers:hike,rs
hiking:hi,king
hill's:h,ill's
hilled:hill,ed
hiller:h,iller
hilloa:hillo,a
hillos:hill,os
hilted:hilt,ed
hinder:hin,der
hinged:hin,ged
hinger:hin,ger
hinges:hing,es
hinted:hin,ted
hinter:h,inter
hiphop:hip,hop
hipped:hip,ped
hipper:hip,per
hippic:hip,pic
hippie:hip,pie
hippos:hip,pos
hippus:hip,pus
hirage:hi,rage
hire's:h,ire's
hirees:hi,rees
hirers:hire,rs
hiring:h,iring
hissed:his,sed
hisser:his,ser
hisses:hiss,es
histed:hi,sted
histie:his,tie
hitchy:h,itchy
hither:h,ither
hithes:hit,hes
hitter:hit,ter
hivers:hi,vers
hoagie:hoa,gie
hoar's:h,oar's
hoards:ho,ards
hoarse:hoar,se
hoasts:h,oasts
hoax's:ho,ax's
hoaxed:ho,axed
hoaxer:hoax,er
hoaxes:ho,axes
hobbed:hob,bed
hobbit:hob,bit
hobday:hob,day
hobnob:hob,nob
hoboed:hobo,ed
hocked:hoc,ked
hocker:h,ocker
hocket:hoc,ket
hockey:hoc,key
hodads:ho,dads
hodden:hod,den
hoddin:hod,din
hodjas:hodja,s
hodman:hod,man
hodmen:hod,men
hogans:hog,ans
hogged:hog,ged
hogger:hog,ger
hogget:hog,get
hoggin:h,oggin
hognut:hog,nut
hogpen:hog,pen
hogtie:hog,tie
hoicks:hoick,s
hoiden:hoi,den
hoiked:hoi,ked
hoised:hoi,sed
hoises:hoise,s
hoists:hoist,s
hokier:ho,kier
hoking:ho,king
hokkus:hokku,s
hokums:hokum,s
holard:ho,lard
hold's:h,old's
holden:h,olden
holder:h,older
holdup:hold,up
holier:ho,lier
holies:ho,lies
holily:ho,lily
holing:ho,ling
holist:ho,list
holked:holk,ed
hollas:h,ollas
holmes:holm,es
holpen:holp,en
homage:ho,mage
home's:ho,me's
homers:h,omers
homeys:home,ys
homing:ho,ming
hominy:ho,miny
hommes:homme,s
honans:hon,ans
hondas:hon,das
hone's:h,one's
honers:h,oners
honest:ho,nest
honeys:hone,ys
honked:hon,ked
honker:honk,er
honors:hon,ors
hooded:hood,ed
hoodie:hoo,die
hoodoo:hoo,doo
hooeys:hooey,s
hoofed:hoo,fed
hoofer:hoo,fer
hookah:hook,ah
hooked:hoo,ked
hooker:hook,er
hookup:hook,up
hooley:hoo,ley
hoolie:hoo,lie
hoop's:ho,op's
hooped:ho,oped
hooper:hoo,per
hoopla:hoop,la
hoopoe:hoop,oe
hoopoo:hoo,poo
hooray:hoo,ray
hooroo:hoo,roo
hooted:hoo,ted
hooter:hoo,ter
hooved:hoove,d
hooven:ho,oven
hoover:ho,over
hooves:hoove,s
hopdog:hop,dog
hope's:ho,pe's
hopers:hop,ers
hoping:h,oping
hopoff:hop,off
hopped:hop,ped
hopper:hop,per
horahs:ho,rahs
horary:hor,ary
horded:horde,d
hordes:horde,s
horned:hor,ned
horner:horn,er
hornet:hor,net
horrid:hor,rid
horsed:hor,sed
horses:hors,es
horsey:hor,sey
horste:hors,te
horsts:hors,ts
hosels:ho,sels
hosers:ho,sers
hoseys:ho,seys
hosier:h,osier
hosing:ho,sing
hosses:hoss,es
host's:ho,st's
hostas:hos,tas
hosted:ho,sted
hostel:hos,tel
hostry:hos,try
hotbed:hot,bed
hotbox:hot,box
hotels:ho,tels
hotkey:hot,key
hotpot:hot,pot
hotrod:ho,trod
hotted:hot,ted
hotter:h,otter
hottie:hot,tie
houghs:ho,ughs
hounds:hound,s
houndy:ho,undy
houris:hour,is
housed:ho,used
housel:h,ousel
houser:ho,user
houses:ho,uses
houted:h,outed
hovels:hove,ls
hovers:h,overs
howdah:how,dah
howdie:how,die
howffs:howf,fs
howked:how,ked
howker:howk,er
howl's:h,owl's
howled:h,owled
howler:h,owler
howlet:h,owlet
hoyden:hoy,den
hoyles:hoy,les
huacas:huaca,s
hubbub:hub,bub
hubcap:hub,cap
huffed:huff,ed
huffer:huff,er
hugest:hug,est
hugged:h,ugged
hugger:hug,ger
hulaed:hula,ed
hulked:hulk,ed
hulled:hull,ed
huller:hull,er
hulloo:hull,oo
humane:hum,ane
humans:hum,ans
humate:hum,ate
humbug:hum,bug
humfed:hum,fed
humhum:hum,hum
humlie:hum,lie
hummed:hum,med
hummel:hum,mel
hummum:hum,mum
hummus:hum,mus
humors:hum,ors
humous:hum,ous
hump's:h,ump's
humped:h,umped
humpen:hum,pen
humper:hum,per
humphs:h,umphs
humpie:hum,pie
humpty:h,umpty
humusy:humus,y
humvee:hum,vee
hunger:hun,ger
hunker:hunk,er
hunkey:hun,key
hunted:hun,ted
hunter:hun,ter
huppah:hup,pah
hupped:h,upped
huppot:hup,pot
hurled:hurl,ed
hurler:hurl,er
hurrah:hurra,h
hurras:hurra,s
hursts:hurst,s
hurter:hurt,er
hushed:hush,ed
hushes:hush,es
husked:husk,ed
husker:husk,er
hussar:huss,ar
husses:huss,es
hutias:hutia,s
hutted:hut,ted
hydras:hydra,s
hydros:hydro,s
hyenas:hye,nas
hylegs:hyle,gs
hymens:hymen,s
hymnal:hymn,al
hymned:hymn,ed
hymner:hymn,er
hyndes:hynde,s
hyoids:hyoid,s
hypate:hyp,ate
hypers:hyp,ers
hyphae:hyp,hae
hyphal:hypha,l
hyphen:hyp,hen
hypoed:hypo,ed
hypoid:hypo,id
hysons:hyson,s
hythes:hythe,s
iambic:iambi,c
iambus:iamb,us
ibex's:ib,ex's
ibexes:ib,exes
ibidem:ib,idem
ibises:i,bises
icebox:ice,box
icecap:ice,cap
iceman:ice,man
icemen:ice,men
ichors:ich,ors
icings:icing,s
ickers:ick,ers
icon's:i,con's
icones:i,cones
iconic:i,conic
idants:id,ants
ideaed:idea,ed
ideals:i,deals
ideate:ide,ate
idem's:id,em's
idioms:idiom,s
idiots:idiot,s
idlers:idle,rs
idlest:id,lest
idling:id,ling
idol's:i,dol's
idolum:idol,um
idylls:idyll,s
igap�s:i,gap�s
igloos:igloo,s
ignore:ign,ore
iguana:i,guana
ihrams:ihram,s
ilexes:i,lexes
iliads:ilia,ds
illest:ill,est
illust:illus,t
imaged:image,d
imager:image,r
images:i,mages
imagos:imago,s
imaris:imari,s
imaums:imaum,s
imbued:imbue,d
imbues:imbue,s
imides:imid,es
imines:i,mines
immews:immew,s
immits:immit,s
immixt:immix,t
impact:imp,act
impair:imp,air
impala:imp,ala
impale:imp,ale
impark:imp,ark
impart:imp,art
impawn:imp,awn
impede:imped,e
impels:imp,els
impend:imp,end
imperf:imp,erf
impers:imp,ers
impies:impi,es
impish:imp,ish
impled:imp,led
implex:imp,lex
impone:imp,one
import:imp,ort
impose:imp,ose
impots:impot,s
impure:imp,ure
impute:imp,ute
imshis:imshi,s
inaner:inane,r
inanes:in,anes
inarch:in,arch
inarms:in,arms
inbent:in,bent
inbond:in,bond
inborn:in,born
inbred:in,bred
incage:in,cage
incant:in,cant
incave:in,cave
incavo:inc,avo
incede:in,cede
incent:in,cent
incest:inc,est
inched:inc,hed
incher:inc,her
inches:inc,hes
incite:in,cite
inclip:in,clip
incogs:in,cogs
income:in,come
incony:in,cony
incult:in,cult
incurs:in,curs
incuse:inc,use
indaba:ind,aba
indart:in,dart
indeed:in,deed
indene:in,dene
indent:in,dent
indict:in,dict
indies:in,dies
indign:ind,ign
indite:in,dite
indole:in,dole
indols:in,dols
indoor:in,door
indows:in,dows
indris:indri,s
induce:in,duce
induct:in,duct
indult:ind,ult
inerts:i,nerts
infall:in,fall
infame:in,fame
infant:inf,ant
infare:in,fare
infelt:in,felt
infers:inf,ers
infest:in,fest
infill:in,fill
infirm:in,firm
inflow:in,flow
influx:in,flux
inform:in,form
infuse:in,fuse
ingans:ingan,s
ingate:in,gate
ingest:in,gest
ingles:ingle,s
ingoes:in,goes
ingots:ingo,ts
ingram:in,gram
ingrum:in,grum
ingulf:in,gulf
inhale:in,hale
inhaul:in,haul
inhere:in,here
inhoop:in,hoop
inions:in,ions
inisle:in,isle
injure:in,jure
injury:in,jury
inkers:ink,ers
inkier:in,kier
inking:in,king
inkjet:ink,jet
inkles:ink,les
inkpad:ink,pad
inkpot:ink,pot
inlace:in,lace
inlaid:in,laid
inland:in,land
inlaws:in,laws
inlays:in,lays
inlets:in,lets
inlier:in,lier
inline:in,line
inlock:in,lock
inmate:in,mate
inmesh:in,mesh
inmost:in,most
innage:inn,age
innate:inn,ate
inners:inn,ers
inorbs:in,orbs
inpour:in,pour
inputs:in,puts
inroad:in,road
inrush:in,rush
insane:in,sane
inseam:in,seam
insect:in,sect
insert:ins,ert
insets:in,sets
inship:in,ship
inside:in,side
insist:in,sist
insole:in,sole
insoul:in,soul
inspan:in,span
instar:in,star
instep:in,step
insult:ins,ult
insure:in,sure
intact:in,tact
intail:in,tail
intake:in,take
intend:in,tend
intens:in,tens
intent:in,tent
interj:inter,j
intern:in,tern
inters:int,ers
inti's:in,ti's
intima:inti,ma
intime:in,time
intine:in,tine
intire:in,tire
intoed:in,toed
intomb:in,tomb
intone:in,tone
intort:in,tort
intown:in,town
intron:in,tron
intros:intr,os
intune:in,tune
inturn:in,turn
intuse:int,use
inulas:inula,s
inured:inure,d
inures:in,ures
inurns:in,urns
invade:in,vade
invars:in,vars
invent:in,vent
invert:in,vert
invest:in,vest
invite:in,vite
invoke:inv,oke
inwall:in,wall
inward:in,ward
inwick:in,wick
inwind:in,wind
inwith:in,with
inwork:in,work
inworn:in,worn
inwove:in,wove
inwrap:in,wrap
inyala:i,nyala
iodate:io,date
iodide:iodid,e
iodids:iodid,s
iodine:io,dine
iodins:io,dins
iodism:i,odism
iolite:io,lite
ionics:ionic,s
ionium:i,onium
ionone:io,none
ippons:ippon,s
irades:irade,s
irater:i,rater
iridal:irid,al
irides:i,rides
irised:iris,ed
irises:i,rises
irokos:iroko,s
ironed:iron,ed
ironer:iron,er
irones:i,rones
isatin:i,satin
ischia:is,chia
island:is,land
islets:is,lets
isling:i,sling
isomer:is,omer
isseis:is,seis
issued:is,sued
issuer:is,suer
issues:is,sues
istles:istle,s
itched:itch,ed
itches:itch,es
item's:it,em's
itemed:item,ed
itself:it,self
ixoras:ixora,s
ixtles:ixtle,s
izards:izar,ds
jabbed:jab,bed
jabers:jab,ers
jabots:ja,bots
jacals:jacal,s
jacent:ja,cent
jackal:jack,al
jacked:jack,ed
jacker:jack,er
jacket:jack,et
jacksy:jacks,y
jading:ja,ding
jadish:ja,dish
jaeger:ja,eger
jagged:jag,ged
jagger:j,agger
jagirs:jagir,s
jagras:jag,ras
jaguar:ja,guar
jail's:j,ail's
jailed:j,ailed
jailer:jail,er
jalaps:ja,laps
jalops:ja,lops
jalopy:jalop,y
jambed:jam,bed
jambee:jam,bee
jamber:j,amber
jambes:jam,bes
jambok:jam,bok
jambos:j,ambos
jambul:jam,bul
jambus:jam,bus
jamjar:jam,jar
jammed:jam,med
jampan:jam,pan
jampot:jam,pot
jangle:j,angle
janker:j,anker
japans:ja,pans
jape's:j,ape's
japers:j,apers
japery:j,apery
japing:j,aping
jargon:j,argon
jarina:jari,na
jarrah:j,arrah
jarred:jar,red
jaruls:jarul,s
jarvie:jar,vie
jaseys:ja,seys
jasper:j,asper
jaspis:j,aspis
jassid:jass,id
jataka:ja,taka
jauked:jauk,ed
jaunce:ja,unce
jaunts:j,aunts
jaunty:jaunt,y
jauped:jaup,ed
jawans:ja,wans
jawing:j,awing
jaygee:jay,gee
jayvee:jay,vee
jazzbo:jazz,bo
jazzed:jazz,ed
jazzer:jazz,er
jazzes:jazz,es
jeaned:jean,ed
jebels:jebel,s
jeelie:jee,lie
jeeped:jee,ped
jeered:jee,red
jeerer:jeer,er
jeffed:j,effed
jelabs:jelab,s
jelled:jell,ed
jellos:jell,os
jerids:jerid,s
jerked:jerk,ed
jerker:jerk,er
jerkin:jerk,in
jessed:jess,ed
jesses:j,esses
jested:jest,ed
jestee:jest,ee
jester:j,ester
jetons:jet,ons
jetsam:jet,sam
jetsom:jet,som
jetted:jet,ted
jetton:jet,ton
jetway:jet,way
jewels:jew,els
jibbah:jib,bah
jibbed:jib,bed
jibers:jib,ers
jigged:j,igged
jigger:jig,ger
jigjig:jig,jig
jigots:jigot,s
jigsaw:jig,saw
jihads:jihad,s
jillet:jill,et
jilted:jilt,ed
jilter:jilt,er
jimper:j,imper
jimply:j,imply
jingal:jin,gal
jingle:j,ingle
jinked:j,inked
jinker:j,inker
jinxed:jin,xed
jinxes:jinx,es
jirgas:jirga,s
jivers:jive,rs
jizzes:jizz,es
jnanas:j,nanas
jobbed:job,bed
jobing:jo,bing
jocked:jock,ed
jockos:jock,os
jocose:jo,cose
jodels:jo,dels
jogged:jog,ged
jogger:jog,ger
johnny:john,ny
join's:jo,in's
joined:join,ed
joiner:join,er
joints:j,oints
joists:joist,s
jokers:joke,rs
jokier:jo,kier
joking:jo,king
joling:jo,ling
jolled:joll,ed
jolted:jolt,ed
jolter:jolt,er
jooals:jooal,s
jooked:jook,ed
jorams:jo,rams
jordan:jor,dan
jorums:jo,rums
josh's:jo,sh's
joshed:jo,shed
josher:jo,sher
joshes:jo,shes
joskin:jo,skin
josser:joss,er
josses:joss,es
jotted:jot,ted
jotter:j,otter
jotunn:jotun,n
jotuns:jo,tuns
jouals:joual,s
jouked:jouk,ed
joules:jo,ules
jounce:j,ounce
jousts:j,ousts
jovial:jo,vial
jowari:j,owari
jowars:jo,wars
jowing:j,owing
jowl's:j,owl's
jowled:j,owled
jowler:j,owler
joyous:jo,yous
joypop:joy,pop
jubate:juba,te
judder:j,udder
judged:jud,ged
judger:jud,ger
judges:judge,s
judogi:judo,gi
judoka:jud,oka
jugals:jug,als
jugate:jug,ate
jugged:j,ugged
juglet:jug,let
jugums:jug,ums
juiced:juice,d
juicer:juice,r
juices:juice,s
jujube:juju,be
juleps:julep,s
jumars:jumar,s
jumart:jumar,t
jumbos:j,umbos
jump's:j,ump's
jumped:j,umped
jumper:jump,er
juncos:j,uncos
juncus:j,uncus
junked:j,unked
junker:junk,er
junket:j,unket
juntas:jun,tas
jupons:jupon,s
jurats:jura,ts
jurels:jure,ls
jurors:juror,s
justed:jus,ted
juster:jus,ter
jutted:jut,ted
jynxes:jynx,es
j�gers:j�ger,s
kaamas:ka,amas
kababs:kab,abs
kabaka:k,abaka
kabala:kab,ala
kabars:ka,bars
kabaya:k,abaya
kabele:k,abele
kaboom:ka,boom
kaffir:kaf,fir
kafila:ka,fila
kafirs:ka,firs
kagool:ka,gool
kahals:kahal,s
kaiaks:kaiak,s
kaikai:kai,kai
kail's:k,ail's
kainit:ka,init
kaiser:kai,ser
kaizen:kai,zen
kakapo:kaka,po
kalams:ka,lams
kale's:k,ale's
kali's:ka,li's
kalian:kali,an
kalifs:k,alifs
kalium:kali,um
kalong:k,along
kalpac:kalpa,c
kalpak:kalpa,k
kalpas:kalpa,s
kamala:kam,ala
kamees:kame,es
kamela:ka,mela
kamiks:kami,ks
kamila:kami,la
kamsin:kam,sin
kanaka:kana,ka
kanehs:kane,hs
kangas:k,angas
kangha:kang,ha
kanjis:kanji,s
kantar:k,antar
kanted:k,anted
kanten:kant,en
kantha:kant,ha
kanzus:kanzu,s
kaon's:ka,on's
kapoks:kapok,s
kappas:kappa,s
karait:ka,rait
karaka:kara,ka
karate:ka,rate
karats:ka,rats
karite:ka,rite
karmas:karma,s
karoos:ka,roos
karris:k,arris
karsts:karst,s
kart's:k,art's
karter:kart,er
kasbah:kas,bah
kashas:kas,has
kasher:ka,sher
katana:ka,tana
kation:kat,ion
katipo:kati,po
kattis:kat,tis
kauris:k,auris
kavass:kava,ss
kavyas:kavya,s
kawing:k,awing
kayaks:ka,yaks
kayles:kay,les
kayoed:kayo,ed
kayoes:kay,oes
kazoos:ka,zoos
keasar:kea,sar
kebabs:kebab,s
kebars:kebar,s
kecked:keck,ed
kecksy:kecks,y
keddah:ked,dah
kedged:k,edged
kedger:k,edger
kedges:k,edges
keeked:keek,ed
keeker:keek,er
keel's:k,eel's
keeled:keel,ed
keeler:keel,er
keened:keen,ed
keener:keen,er
keeper:keep,er
keeves:keeve,s
kefirs:kefir,s
kegged:k,egged
keleps:kelep,s
kelims:kelim,s
kelped:kelp,ed
kelter:kelt,er
kembed:k,embed
kembos:kembo,s
kemped:kemp,ed
kemper:kemp,er
kenafs:kenaf,s
kendos:ken,dos
kenned:ken,ned
kented:ken,ted
kentes:ken,tes
kentia:k,entia
kepped:kep,ped
keppen:kep,pen
kerfed:kerf,ed
kerned:k,erned
kernel:kern,el
kernes:k,ernes
kernoi:kern,oi
kernos:kern,os
kerved:kerve,d
kerves:kerve,s
ketene:ket,ene
ketols:keto,ls
ketone:ket,one
ketose:ket,ose
kettle:k,ettle
kevels:kevel,s
kevils:k,evils
keyman:key,man
keypad:key,pad
keypal:key,pal
keyset:key,set
keyway:key,way
khadis:khadi,s
khakis:khaki,s
khanum:khan,um
khaphs:khaph,s
khayas:khaya,s
khedah:kheda,h
khedas:kheda,s
kheths:k,heths
khilat:khi,lat
khodja:k,hodja
khojas:khoja,s
khoums:khoum,s
kiacks:kiack,s
kiangs:kiang,s
kibbeh:kibbe,h
kibbes:kibbe,s
kibbis:kibbi,s
kibeis:kibe,is
kiblah:ki,blah
kiblas:kibla,s
kibosh:ki,bosh
kicked:kick,ed
kicker:k,icker
kickup:kick,up
kidcom:kid,com
kidded:ki,dded
kidder:kid,der
kiddie:kid,die
kiddos:kid,dos
kidels:ki,dels
kideos:kideo,s
kidlet:kid,let
kidlit:kid,lit
kidnap:kid,nap
kidult:kid,ult
kidvid:kid,vid
kieves:ki,eves
kileys:ki,leys
kilims:kilim,s
kill's:k,ill's
killas:kill,as
killed:kill,ed
killer:k,iller
killut:kill,ut
kilned:kiln,ed
kilted:kilt,ed
kilter:kilt,er
kimbos:kimbo,s
kimono:ki,mono
kinase:kina,se
kincob:kin,cob
kinder:kin,der
kindie:k,indie
kinged:kin,ged
kinins:kin,ins
kink's:k,ink's
kinked:k,inked
kinkle:k,inkle
kino's:ki,no's
kinone:k,inone
kiosks:kiosk,s
kippas:kip,pas
kipped:kip,ped
kippen:kip,pen
kipper:kip,per
kirned:kir,ned
kirpan:kir,pan
kirsch:kir,sch
kiruvs:kiruv,s
kisans:ki,sans
kishes:k,ishes
kishka:kish,ka
kissed:kiss,ed
kissel:kiss,el
kisser:kiss,er
kisses:kiss,es
kisted:ki,sted
kite's:ki,te's
kiters:kit,ers
kithed:kit,hed
kithes:kit,hes
kiting:ki,ting
kitsch:kit,sch
kitted:kit,ted
kittel:kit,tel
kitten:kit,ten
klangs:klang,s
klatch:k,latch
klaxon:kl,axon
klicks:k,licks
klongs:k,longs
kloofs:k,loofs
kluged:k,luged
kluges:k,luges
klutzy:klutz,y
knacks:knack,s
knacky:knack,y
knaggy:k,naggy
knarls:knar,ls
knaurs:knaur,s
knaves:k,naves
knawel:knawe,l
knawes:kn,awes
kneads:knead,s
kneels:kn,eels
knells:kn,ells
knicks:k,nicks
knifed:knife,d
knifer:knife,r
knifes:knife,s
knight:k,night
knit's:k,nit's
knitch:kn,itch
knived:knive,d
knives:knive,s
knob's:k,nob's
knobby:k,nobby
knocks:k,nocks
knolls:k,nolls
knolly:knoll,y
knosps:knosp,s
knouts:kn,outs
know's:k,now's
knower:kn,ower
knowes:kn,owes
knowns:kn,owns
knubby:k,nubby
knurls:k,nurls
knurly:knurl,y
knurrs:k,nurrs
koalas:ko,alas
kobang:k,obang
kobans:ko,bans
kobold:ko,bold
kohl's:ko,hl's
koines:koine,s
kokers:koker,s
kokums:kokum,s
kola's:ko,la's
kombus:k,ombus
konked:kon,ked
kooked:kook,ed
kopeck:ko,peck
kopjes:kopje,s
koppas:kop,pas
koppie:kop,pie
korats:ko,rats
kormas:kor,mas
korora:kor,ora
koruna:korun,a
koruny:korun,y
kosher:ko,sher
kosmos:kos,mos
kosses:koss,es
kotows:ko,tows
kotwal:ko,twal
koulan:ko,ulan
kraals:kr,aals
krafts:k,rafts
kraits:k,raits
krangs:krang,s
krater:k,rater
krauts:kraut,s
kreeps:kreep,s
krengs:kr,engs
krewes:kr,ewes
krills:k,rills
krised:kris,ed
krises:k,rises
kronen:krone,n
kroner:kr,oner
krooni:kroon,i
kroons:k,roons
krubis:krubi,s
kudzus:kudzu,s
kugels:kugel,s
kukris:kukri,s
kulaki:kulak,i
kulaks:kulak,s
kulans:k,ulans
kurtas:kurta,s
kussos:kusso,s
kutcha:kutch,a
kvases:k,vases
kvells:k,vells
kvetch:k,vetch
kyacks:kyack,s
kyangs:k,yangs
kyat's:ky,at's
kybosh:ky,bosh
kylies:ky,lies
kylins:ky,lins
kyries:kyrie,s
kythed:kythe,d
kythes:kythe,s
laager:la,ager
labdas:lab,das
labels:la,bels
labial:labia,l
labile:la,bile
lablab:la,blab
labors:la,bors
labrid:lab,rid
labrum:lab,rum
lace's:l,ace's
lacers:l,acers
lacets:lace,ts
laches:l,aches
lacing:l,acing
lacked:lac,ked
lacker:lack,er
lackey:lac,key
lacmus:lac,mus
lactam:lac,tam
lactic:lac,tic
ladder:l,adder
laddie:lad,die
ladens:la,dens
laders:lad,ers
ladies:la,dies
lading:la,ding
ladino:la,dino
ladled:lad,led
ladler:ladle,r
ladles:lad,les
ladyfy:lady,fy
lagans:lag,ans
lagena:la,gena
lagend:lag,end
lagers:l,agers
lagged:lag,ged
laggen:lag,gen
lagger:l,agger
laggin:lag,gin
lagoon:la,goon
lahars:lah,ars
laical:laic,al
laichs:la,ichs
laidly:la,idly
laighs:laigh,s
laikas:laik,as
laiked:laik,ed
lair's:l,air's
lairds:lair,ds
laired:l,aired
lakers:lake,rs
lakier:la,kier
laking:l,aking
lakish:la,kish
laksas:laks,as
lakses:laks,es
lalang:l,alang
lallan:lall,an
lalled:lall,ed
lama's:la,ma's
lambda:lamb,da
lambed:lam,bed
lamber:l,amber
lame's:la,me's
lamedh:lam,edh
lameds:la,meds
lament:l,ament
lamers:lam,ers
lamest:lam,est
lamiae:lamia,e
lamias:l,amias
laming:la,ming
lamish:lam,ish
lammed:lam,med
lamp's:l,amp's
lampad:lam,pad
lampas:lam,pas
lamped:l,amped
lanais:lana,is
lanate:lana,te
lanced:lance,d
